Date,Persona,Readiness Score,Sleep Score,Weight (Start),Weight (End),Central Fatigue,Muscular Damage,ACWR Ratio,Mission Headline,Session Role,Prescribed RPE,Actual RPE,Compliance,Actual Calories,Is Cheat Day?,Fuel State,Risk Level,Risk Score,Primary Driver,Decision Trace (Full)
2026-03-16,The Binger,7,7,185.00,185.00,0.5,11.1,1.00,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-17,The Binger,7,6,185.00,184.92,3.5,23.7,1.11,"Develop: push the block forward",develop,N/A,6,YES,2220,NO,aerobic,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-18,The Binger,7,7,184.92,184.92,4.0,34.8,1.24,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-19,The Binger,7,7,184.92,184.92,4.5,45.9,1.35,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,low,10,"Readiness is below peak.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-20,The Binger,7,7,184.92,184.92,5.0,57.0,1.46,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,low,10,"Readiness is below peak.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-21,The Binger,7,8,184.92,184.92,3.0,66.6,1.57,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,low,30,"Acute load is elevated and needs monitoring.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-22,The Binger,6,7,184.92,184.92,3.5,77.7,1.67,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,low,30,"Acute load is elevated and needs monitoring.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-23,The Binger,6,7,184.92,184.92,4.0,88.8,1.78,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,low,30,"Acute load is elevated and needs monitoring.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-24,The Binger,8,7,184.92,184.92,4.5,89.5,1.89,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-25,The Binger,6,7,184.92,184.92,5.0,89.5,1.90,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-26,The Binger,7,6,184.92,185.63,8.0,91.0,1.90,"Develop: push the block forward",develop,N/A,6,YES,5000,YES,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-27,The Binger,6,8,185.63,185.53,6.0,88.0,1.91,"Develop: push the block forward",develop,N/A,6,YES,2149,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
