Date,Persona,Readiness Score,Sleep Score,Weight (Start),Weight (End),Central Fatigue,Muscular Damage,ACWR Ratio,Mission Headline,Session Role,Prescribed RPE,Actual RPE,Compliance,Actual Calories,Is Cheat Day?,Fuel State,Risk Level,Risk Score,Primary Driver,Workout Blueprint,Coach's Notes,Athlete Diary,Decision Trace (Full)
2026-03-16,The Grinder,6,6,185.00,185.04,16.7,29.2,1.00,"Develop: push the block forward",develop,N/A,8,YES,2676,NO,aerobic,low,0,"No major risk drivers detected.","Hang Clean (4x6 @ RPE 8) | Clean and Press (4x6 @ RPE 8) | Dumbbell Snatch (4x6 @ RPE 8) | Depth Jump (4x6 @ RPE 8) | Muscle-up (4x6 @ RPE 8) | Trap Bar Jump (4x6 @ RPE 8) | Hang Power Snatch (4x6 @ RPE 8) | Power Clean (4x6 @ RPE 8)","Steady state progression. Maintaining develop volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-17,The Grinder,6,6,185.04,185.01,31.9,57.5,1.29,"Develop: push the block forward",develop,N/A,8,YES,2465,NO,aerobic,low,0,"No major risk drivers detected.","Medicine Ball Slams (4x6 @ RPE 8) | Medicine Ball Rotational Throw (4x6 @ RPE 8) | Plyometric Push-ups (4x6 @ RPE 8) | Kettlebell Swing (4x6 @ RPE 8) | Med Ball Chest Pass (4x6 @ RPE 8) | Overhead Medicine Ball Throw (4x6 @ RPE 8) | Landmine Rotation (4x6 @ RPE 8) | Lateral Bound (4x6 @ RPE 8)","Steady state progression. Maintaining develop volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-18,The Grinder,4,5,185.01,185.02,51.3,88.4,1.58,"Recover: push the block forward",recover,N/A,8,YES,2402,NO,aerobic,low,30,"Acute load is elevated and needs monitoring.","Shoulder Dislocates (2x12 @ RPE 4) | Dead Hang (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)","Steady state progression. Maintaining recover volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-19,The Grinder,4,6,185.02,185.10,67.9,90.7,1.88,"Recover: push the block forward",recover,N/A,8,YES,2608,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Thoracic Spine Rotation (2x12 @ RPE 4) | Cat-Cow Stretch (2x12 @ RPE 4) | Ankle Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-20,The Grinder,3,5,185.10,185.13,87.0,92.3,1.91,"Recover: push the block forward",recover,N/A,8,YES,2495,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Wrist Circles (2x12 @ RPE 4) | 90/90 Hip Stretch (2x12 @ RPE 4) | Light Bike Spin (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-21,The Grinder,2,3,185.13,185.17,91.3,94.8,1.92,"Recover: push the block forward",recover,N/A,8,YES,2638,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Couch Stretch (2x12 @ RPE 4) | Child's Pose (2x12 @ RPE 4) | Hip Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-22,The Grinder,2,3,185.17,185.25,93.7,96.2,1.95,"Recover: push the block forward",recover,N/A,8,YES,2703,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Band Work — Shoulders (2x12 @ RPE 4) | Pigeon Stretch (2x12 @ RPE 4) | Dead Bug (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-23,The Grinder,1,4,185.25,185.14,91.2,94.7,1.96,"Recover: push the block forward",recover,N/A,8,YES,2046,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Foam Rolling — Full Body (2x12 @ RPE 4) | Lacrosse Ball Trigger Points (2x12 @ RPE 4) | Walking (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-24,The Grinder,2,3,185.14,185.16,91.5,94.9,1.95,"Recover: push the block forward",recover,N/A,8,YES,2729,NO,aerobic,moderate,40,"Acute load is above the safe training band.","World's Greatest Stretch (2x12 @ RPE 4) | Yoga Flow (2x12 @ RPE 4) | Ankle Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-25,The Grinder,2,2,185.16,185.15,94.4,96.6,1.95,"Recover: push the block forward",recover,N/A,8,YES,2382,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Band Pull-Aparts (2x12 @ RPE 4) | Light Shadow Boxing (2x12 @ RPE 4) | Wrist Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
