Date,Persona,Readiness Score,Sleep Score,Weight (Start),Weight (End),Central Fatigue,Muscular Damage,ACWR Ratio,Mission Headline,Session Role,Prescribed RPE,Actual RPE,Compliance,Actual Calories,Is Cheat Day?,Fuel State,Cut Phase,Water Target (oz),Sodium Target (mg),Fiber State,Sessions (Full),Risk Level,Risk Score,Primary Driver,Workout Blueprint,Coach's Notes,Athlete Diary,Decision Trace (Full)
2026-03-16,The Grinder,5,4,185.00,185.04,13.0,22.5,1.00,"Develop: push the block forward",develop,N/A,7,YES,2736,NO,aerobic,none,0,Normal,"Normal","upper_push (7) | Technical Bag Work (6)",low,0,"No major risk drivers detected.","Power Clean (4x6 @ RPE 8) | Hang Clean (4x6 @ RPE 8) | Clean and Press (4x6 @ RPE 8) | Dumbbell Snatch (4x6 @ RPE 8) | Depth Jump (4x6 @ RPE 8) | Hang Power Snatch (4x6 @ RPE 8) | Muscle-up (4x6 @ RPE 8) | Trap Bar Jump (4x6 @ RPE 8)","Steady state progression. Maintaining develop volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-17,The Grinder,6,5,185.04,185.10,25.8,44.9,1.23,"Develop: push the block forward",develop,N/A,7,YES,2748,NO,aerobic,none,0,Normal,"Normal","lower (7) | Pad Work & Drills (7)",low,0,"No major risk drivers detected.","Medicine Ball Slams (4x6 @ RPE 8) | Medicine Ball Rotational Throw (4x6 @ RPE 8) | Plyometric Push-ups (4x6 @ RPE 8) | Landmine Rotation (4x6 @ RPE 8) | Lateral Bound (4x6 @ RPE 8) | Overhead Medicine Ball Throw (4x6 @ RPE 8) | Kettlebell Swing (4x6 @ RPE 8) | Med Ball Chest Pass (4x6 @ RPE 8)","Steady state progression. Maintaining develop volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-18,The Grinder,6,4,185.10,185.09,41.1,68.8,1.45,"Spar Support: push the block forward",spar_support,N/A,7,YES,2549,NO,aerobic,none,0,Normal,"Normal","sport_specific (7)",low,10,"Readiness is below peak.","Neck Harness (3x1 @ RPE 7) | Battle Ropes — Alternating (3x1 @ RPE 7) | Speed Bag (3x1 @ RPE 7) | Neck Bridge (3x1 @ RPE 7) | Footwork Ladder Drills (3x1 @ RPE 7) | Sled Pull (3x1 @ RPE 7)","Steady state progression. Maintaining spar_support volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-19,The Grinder,4,5,185.09,185.16,55.1,91.9,1.69,"Spar Support: push the block forward",spar_support,N/A,7,YES,2796,NO,aerobic,none,0,Normal,"Normal","recovery (7) | Hard Sparring (9)",low,30,"Acute load is elevated and needs monitoring.","Cat-Cow Stretch (2x12 @ RPE 4) | Wrist Circles (2x12 @ RPE 4) | Child's Pose (2x12 @ RPE 4)","Steady state progression. Maintaining spar_support volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-20,The Grinder,3,6,185.16,185.33,63.1,92.1,1.92,"Spar Support: push the block forward",spar_support,5,6.5,YES,2988,NO,aerobic,none,0,Normal,"Normal","recovery (6.5) | Technical Sparring (6)",moderate,40,"Acute load is above the safe training band.","Ankle Circles (2x12 @ RPE 4) | Hip Circles (2x12 @ RPE 4) | 90/90 Hip Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to spar_support role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-21,The Grinder,2,6,185.33,185.37,70.8,92.0,1.92,"Recover: push the block forward",recover,5,6.5,YES,2782,NO,aerobic,none,0,Normal,"Normal","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Shoulder Dislocates (2x12 @ RPE 4) | Dead Hang (2x12 @ RPE 4) | Light Bike Spin (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-22,The Grinder,2,4,185.37,185.48,82.8,94.5,1.92,"Recover: push the block forward",recover,5,6.5,YES,2925,NO,aerobic,none,0,Normal,"Normal","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Thoracic Spine Rotation (2x12 @ RPE 4) | Pigeon Stretch (2x12 @ RPE 4) | Band Work — Shoulders (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-23,The Grinder,3,2,185.48,185.59,94.5,96.7,1.95,"Recover: push the block forward",recover,5,6.5,YES,2981,NO,aerobic,none,0,Normal,"Normal","recovery (6.5) | Technical Bag Work (6)",moderate,40,"Acute load is above the safe training band.","World's Greatest Stretch (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Couch Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-24,The Grinder,2,3,185.59,185.60,91.5,94.9,1.97,"Recover: push the block forward",recover,5,6.5,YES,2545,NO,aerobic,none,0,Normal,"Normal","recovery (6.5) | Pad Work & Drills (7)",moderate,40,"Acute load is above the safe training band.","Dead Bug (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4) | Light Shadow Boxing (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-25,The Grinder,1,3,185.60,185.66,91.5,94.9,1.95,"Recover: push the block forward",recover,5,6.5,YES,2607,NO,aerobic,none,0,Normal,"Normal","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Yoga Flow (2x12 @ RPE 4) | Lacrosse Ball Trigger Points (2x12 @ RPE 4) | Ankle Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
