Date,Persona,Readiness Score,Sleep Score,Weight (Start),Weight (End),Central Fatigue,Muscular Damage,ACWR Ratio,Mission Headline,Session Role,Prescribed RPE,Actual RPE,Compliance,Actual Calories,Is Cheat Day?,Fuel State,Risk Level,Risk Score,Primary Driver,Decision Trace (Full)
2026-03-16,The Grinder,6,5,185.00,185.00,19.5,30.9,1.00,"Develop: push the block forward",develop,N/A,8,YES,2500,NO,aerobic,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-17,The Grinder,5,6,185.00,185.00,36.5,60.3,1.31,"Develop: push the block forward",develop,N/A,8,YES,2500,NO,aerobic,low,10,"Readiness is below peak.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-18,The Grinder,5,6,185.00,185.00,53.5,89.7,1.60,"Develop: push the block forward",develop,N/A,8,YES,2500,NO,aerobic,low,30,"Acute load is elevated and needs monitoring.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-19,The Grinder,3,4,185.00,185.00,75.5,94.0,1.90,"Develop: push the block forward",develop,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-20,The Grinder,1,4,185.00,185.00,90.0,94.0,1.94,"Develop: push the block forward",develop,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-21,The Grinder,2,4,185.00,185.00,90.0,94.0,1.94,"Develop: push the block forward",develop,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-22,The Grinder,2,3,185.00,185.00,92.5,95.5,1.94,"Develop: push the block forward",develop,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-23,The Grinder,1,4,185.00,185.00,90.0,94.0,1.96,"Develop: push the block forward",develop,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-24,The Grinder,2,4,185.00,185.00,90.0,94.0,1.94,"Develop: push the block forward",develop,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-25,The Grinder,1,2,185.00,185.06,95.0,97.0,1.94,"Develop: push the block forward",develop,N/A,8,YES,2717,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-26,The Grinder,1,2,185.06,185.06,95.0,97.0,1.97,"Develop: push the block forward",develop,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-27,The Grinder,1,3,185.06,185.06,92.5,95.5,1.97,"Develop: push the block forward",develop,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-28,The Grinder,1,4,185.06,185.06,90.0,94.0,1.96,"Develop: push the block forward",develop,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-29,The Grinder,2,2,185.06,185.06,95.0,97.0,1.94,"Develop: push the block forward",develop,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-30,The Grinder,1,3,185.06,185.06,92.5,95.5,1.97,"Develop: push the block forward",develop,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-31,The Grinder,1,3,185.06,185.06,92.5,95.5,1.96,"Develop: push the block forward",develop,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-01,The Grinder,1,2,185.06,185.06,95.0,97.0,1.96,"Develop: push the block forward",develop,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-02,The Grinder,2,3,185.06,185.00,92.5,95.5,1.97,"Develop: push the block forward",develop,N/A,8,YES,2277,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-03,The Grinder,1,3,185.00,185.12,92.5,95.5,1.96,"Develop: push the block forward",develop,N/A,8,YES,2911,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-04,The Grinder,1,3,185.12,185.12,92.5,95.5,1.96,"Develop: push the block forward",develop,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-05,The Grinder,2,3,185.12,185.12,92.5,95.5,1.96,"Develop: push the block forward",develop,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-06,The Grinder,1,2,185.12,185.12,95.0,97.0,1.96,"Develop: push the block forward",develop,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-07,The Grinder,1,4,185.12,185.12,90.0,94.0,1.97,"Develop: push the block forward",develop,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-08,The Grinder,2,3,185.12,185.26,92.5,95.5,1.94,"Develop: push the block forward",develop,N/A,8,YES,3000,YES,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-09,The Grinder,2,3,185.26,185.26,92.5,95.5,1.96,"Develop: push the block forward",develop,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-10,The Grinder,2,2,185.26,185.26,95.0,97.0,1.96,"Develop: push the block forward",develop,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-11,The Grinder,2,4,185.26,185.26,90.0,94.0,1.97,"Develop: push the block forward",develop,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-12,The Grinder,2,4,185.26,185.26,90.0,94.0,1.94,"Develop: push the block forward",develop,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
