Date,Persona,Readiness Score,Sleep Score,Weight (Start),Weight (End),Central Fatigue,Muscular Damage,ACWR Ratio,Mission Headline,Session Role,Prescribed RPE,Actual RPE,Compliance,Actual Calories,Is Cheat Day?,Fuel State,Risk Level,Risk Score,Primary Driver,Workout Blueprint,Coach's Notes,Athlete Diary,Decision Trace (Full)
2026-03-16,The Binger,7,7,185.00,184.98,0.5,11.1,1.00,"Develop: push the block forward",develop,N/A,6,YES,2416,NO,aerobic,low,0,"No major risk drivers detected.","Power Clean (4x6 @ RPE 8) | Hang Clean (4x6 @ RPE 8) | Clean and Press (4x6 @ RPE 8) | Dumbbell Snatch (4x6 @ RPE 8) | Depth Jump (4x6 @ RPE 8) | Muscle-up (4x6 @ RPE 8) | Hang Power Snatch (4x6 @ RPE 8) | Trap Bar Jump (4x6 @ RPE 8)","Steady state progression. Maintaining develop volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-17,The Binger,7,7,184.98,184.87,1.0,22.2,1.11,"Develop: push the block forward",develop,N/A,6,YES,2134,NO,aerobic,low,0,"No major risk drivers detected.","Power Clean (4x6 @ RPE 8) | Hang Clean (4x6 @ RPE 8) | Clean and Press (4x6 @ RPE 8) | Dumbbell Snatch (4x6 @ RPE 8) | Depth Jump (4x6 @ RPE 8) | Muscle-up (4x6 @ RPE 8) | Hang Power Snatch (4x6 @ RPE 8) | Trap Bar Jump (4x6 @ RPE 8)","Steady state progression. Maintaining develop volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-18,The Binger,7,8,184.87,184.93,0.0,31.8,1.22,"Spar Support: push the block forward",spar_support,N/A,6,YES,2719,NO,aerobic,low,0,"No major risk drivers detected.","Power Clean (4x6 @ RPE 8) | Hang Clean (4x6 @ RPE 8) | Clean and Press (4x6 @ RPE 8) | Dumbbell Snatch (4x6 @ RPE 8) | Depth Jump (4x6 @ RPE 8) | Hang Power Snatch (4x6 @ RPE 8) | Trap Bar Jump (4x6 @ RPE 8) | Box Jumps (4x6 @ RPE 8)","Steady state progression. Maintaining spar_support volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-19,The Binger,8,7,184.93,184.93,0.5,42.9,1.32,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,low,10,"Readiness is below peak.","Box Jumps (3x8 @ RPE 7) | Medicine Ball Slams (3x8 @ RPE 7) | Medicine Ball Rotational Throw (3x8 @ RPE 7) | Plyometric Push-ups (3x8 @ RPE 7) | Kettlebell Swing (3x8 @ RPE 7) | Broad Jump (3x8 @ RPE 7)","Steady state progression. Maintaining develop volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-20,The Binger,8,8,184.93,184.84,0.0,52.5,1.43,"Develop: push the block forward",develop,N/A,6,YES,2159,NO,aerobic,low,10,"Readiness is below peak.","Box Jumps (3x8 @ RPE 7) | Medicine Ball Slams (3x8 @ RPE 7) | Medicine Ball Rotational Throw (3x8 @ RPE 7) | Plyometric Push-ups (3x8 @ RPE 7) | Kettlebell Swing (3x8 @ RPE 7) | Broad Jump (3x8 @ RPE 7)","Steady state progression. Maintaining develop volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-21,The Binger,6,6,184.84,184.84,3.0,65.1,1.52,"Recover: push the block forward",recover,N/A,6,YES,2500,NO,aerobic,low,30,"Acute load is elevated and needs monitoring.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)","Steady state progression. Maintaining recover volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-22,The Binger,7,6,184.84,184.84,6.0,77.7,1.65,"Recover: push the block forward",recover,N/A,6,YES,2500,NO,aerobic,low,30,"Acute load is elevated and needs monitoring.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)","Steady state progression. Maintaining recover volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-23,The Binger,7,8,184.84,184.76,4.0,87.3,1.78,"Recover: push the block forward",recover,N/A,6,YES,2219,NO,aerobic,low,30,"Acute load is elevated and needs monitoring.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)","Steady state progression. Maintaining recover volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-24,The Binger,7,7,184.76,184.76,4.5,89.5,1.87,"Recover: push the block forward",recover,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-25,The Binger,6,7,184.76,184.76,5.0,89.5,1.90,"Recover: push the block forward",recover,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
