Date,Persona,Readiness Score,Sleep Score,Weight (Start),Weight (End),Central Fatigue,Muscular Damage,ACWR Ratio,Mission Headline,Session Role,Prescribed RPE,Actual RPE,Compliance,Actual Calories,Is Cheat Day?,Fuel State,Fuel Adjustment,Cut Phase,Water Target (oz),Sodium Target (mg),Fiber State,Intervention State,Mandatory Recovery,Weight Drift (lbs),Cut Intervention Reason,Sessions (Full),Risk Level,Risk Score,Primary Driver,Workout Blueprint,Coach's Notes,Athlete Diary,Decision Trace (Full)
2026-03-15,The Grinder,6,5,185.00,184.96,13.0,22.5,1.00,"Recover: push the block forward",recover,N/A,7,YES,2793,NO,aerobic,none,none,0,Normal,"Normal",none,NO,,"","recovery (7) | Technical Bag Work (6)",low,0,"No major risk drivers detected.","Foam Rolling — Full Body (2x12 @ RPE 4) | Thoracic Spine Rotation (2x12 @ RPE 4) | Pigeon Stretch (2x12 @ RPE 4) | Ankle Circles (2x12 @ RPE 4) | Dead Hang (2x12 @ RPE 4) | Child's Pose (2x12 @ RPE 4) | Dead Bug (2x12 @ RPE 4) | World's Greatest Stretch (2x12 @ RPE 4)","Steady state progression. Maintaining recover volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | training: Camp phase routing | fuel: Fuel timing match"
2026-03-16,The Grinder,6,5,184.96,184.86,22.8,43.1,1.23,"Develop: push the block forward",develop,N/A,7,YES,2486,NO,aerobic,none,none,0,Normal,"Normal",none,NO,,"","upper_push (7) | Pad Work & Drills (7)",low,0,"No major risk drivers detected.","Hang Clean (4x6 @ RPE 8) | Box Jumps (4x6 @ RPE 8) | Plyometric Push-ups (4x6 @ RPE 8) | Broad Jump (4x6 @ RPE 8) | Dumbbell Snatch (4x6 @ RPE 8) | Depth Jump (4x6 @ RPE 8) | Trap Bar Jump (4x6 @ RPE 8) | Power Clean (4x6 @ RPE 8)","Steady state progression. Maintaining develop volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | training: Camp phase routing | fuel: Fuel timing match"
2026-03-17,The Grinder,6,6,184.86,184.89,30.7,62.5,1.43,"Develop: push the block forward",develop,N/A,7,YES,3016,NO,aerobic,none,none,0,Normal,"Normal",none,NO,,"","lower (7)",low,10,"Readiness is below peak.","Jump Rope (3x1 @ RPE 7) | Lateral Bound (3x8 @ RPE 7) | Overhead Medicine Ball Throw (3x8 @ RPE 7) | Medicine Ball Rotational Throw (3x8 @ RPE 7) | Footwork Ladder Drills (3x1 @ RPE 7) | Medicine Ball Slams (3x8 @ RPE 7)","Steady state progression. Maintaining develop volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | training: Camp phase routing | fuel: Fuel timing match"
2026-03-18,The Grinder,4,6,184.89,184.99,41.8,83.9,1.63,"Spar Support: push the block forward",spar_support,N/A,7,YES,3030,NO,aerobic,none,none,0,Normal,"Normal",none,NO,,"","recovery (7) | Hard Sparring (9)",low,30,"Acute load is elevated and needs monitoring.","Band Work — Shoulders (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4) | Wrist Circles (2x12 @ RPE 4)","Steady state progression. Maintaining spar_support volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | training: Camp phase routing | fuel: Fuel timing match"
2026-03-19,The Grinder,3,4,184.99,184.89,57.2,94.5,1.84,"Spar Support: push the block forward",spar_support,N/A,7,YES,2691,NO,aerobic,none,none,0,Normal,"Normal",none,NO,,"","recovery (7) | Technical Sparring (6)",moderate,40,"Acute load is above the safe training band.","Cat-Cow Stretch (2x12 @ RPE 4) | Child's Pose (2x12 @ RPE 4) | Ankle Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to spar_support role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | training: Camp phase routing | fuel: Fuel timing match | risk: Risk control"
2026-03-20,The Grinder,4,6,184.89,184.86,65.5,90.2,1.95,"Recover: push the block forward",recover,N/A,7,YES,2754,NO,aerobic,none,none,0,Normal,"Normal",none,NO,,"","recovery (7)",moderate,52,"Acute load is above the safe training band.","Dead Bug (2x12 @ RPE 4) | Hip Circles (2x12 @ RPE 4) | Pigeon Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | training: Camp phase routing | fuel: Fuel timing match | risk: Risk control"
2026-03-21,The Grinder,3,6,184.86,184.88,50.9,78.7,1.90,"Recover: execute under intervention cap",recover,4,5.5,YES,2828,NO,aerobic,none,none,0,Normal,"Normal",soft,NO,,"","recovery (5.5)",high,60,"Acute load is above the safe training band.","World's Greatest Stretch (2x12 @ RPE 4) | 90/90 Hip Stretch (2x12 @ RPE 4) | Thoracic Spine Rotation (2x12 @ RPE 4)","Engine detected high risk (high): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | training: Camp phase routing | fuel: Fuel timing match | risk: Risk control"
2026-03-22,The Grinder,3,6,184.88,184.81,61.9,91.9,1.79,"Recover: push the block forward",recover,N/A,7,YES,2774,NO,aerobic,none,none,0,Normal,"Normal",none,NO,,"","recovery (7) | Technical Bag Work (6)",moderate,36,"Acute load is elevated and needs monitoring.","Light Bike Spin (2x12 @ RPE 4) | Shoulder Dislocates (2x12 @ RPE 4) | Couch Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is elevated and needs monitoring.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is elevated and needs monitoring. is catching up to me. Glad the engine saw it.","objective: Objective anchor | training: Camp phase routing | fuel: Fuel timing match | risk: Risk control"
2026-03-23,The Grinder,4,6,184.81,184.84,46.2,79.7,1.92,"Recover: execute under intervention cap",recover,4,5.5,YES,2933,NO,aerobic,none,none,0,Normal,"Normal",soft,NO,,"","recovery (5.5) | Pad Work & Drills (4)",high,57,"Acute load is above the safe training band.","Lacrosse Ball Trigger Points (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Light Shadow Boxing (2x12 @ RPE 4)","Engine detected high risk (high): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | training: Camp phase routing | fuel: Fuel timing match | risk: Risk control"
2026-03-24,The Grinder,3,4,184.84,184.87,59.5,93.3,1.80,"Recover: push the block forward",recover,N/A,7,YES,3007,NO,aerobic,none,none,0,Normal,"Normal",none,NO,,"","recovery (7)",low,31,"Acute load is elevated and needs monitoring.","Dead Hang (2x12 @ RPE 4) | Yoga Flow (2x12 @ RPE 4) | Walking (2x12 @ RPE 4)","Steady state progression. Maintaining recover volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | training: Camp phase routing | fuel: Fuel timing match"
